Year;Code;Number;Line;CreationDate;ModificationDate;Name;Value;BeneficiaryCode;BeneficiaryName;IrisCode;Sector;ActionCode;ActionName
2009;AE   ;245253;1;20090204;20090204;PARIS 20 7 RUE HENRI CHEVREAU;327322;17210;CRAUNOT CRAUNOT SA PARIS RIVE GAUCHE  ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245206;1;20090204;20090204;PARIS 3 20 RUE CHARLOT TR2 CAB;184490;22600;SOTTO                                 ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245207;1;20090204;20090204;PARIS 3 318 RUE ST MARTIN TR2;201130;23919;AG COP ASSISTANCE ET GESTION DE       ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245210;1;20090204;20090204;PARIS 10 46 RUE DU FG ST MARTI;520000;23981;REGIE GUILLON                         ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245220;1;20090204;20090204;PARIS 15 24 RUE DE LA CROIX NI;520000;23919;AG COP ASSISTANCE ET GESTION DE       ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245224;1;20090204;20091208;PARIS 17 161 AVENUE DE CLICHY;446919;17210;CRAUNOT CRAUNOT SA PARIS RIVE GAUCHE  ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245226;1;20090204;20090204;PARIS 18 31 RUE DURANTIN SABIM;312724;19466;SABIMO                                ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245228;1;20090204;20090204;PARIS 18 8 IMPASSE DE LA DEFEN;1535042;1841;RINALDI                               ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245232;1;20090204;20090204;PARIS 18 34 RUE FEUTRIER MELLE;211103;35331;KECHICHIAN                            ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245234;1;20090204;20090204;PARIS 18 2 RUE STEPHENSON TR3;196125;36519;GUERRIER                              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245248;1;20090204;20120131;PARIS 19 16 RUE DE NANTES AG C;429750;36814;CABINET HABERT                        ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245250;1;20090204;20120131;PARIS 19 16 RUE DE NANTES AG C;110839;36814;CABINET HABERT                        ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245277;1;20090313;20090313;DAMMARIE LES LYS 77 CLOS FLEURI 78 ALLEE BLEUETS MME BENZIAN;352454;8176;SOLIHA 77 SEINE-ET-MARNE              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245274;1;20090313;20090313;DAMMARIE LES LYS 77 741 RESID AQUITAINE M. PLAISANCE;213763;8176;SOLIHA 77 SEINE-ET-MARNE              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245272;1;20090313;20090313;DAMMARIE LES LYS 77 731 RESID AQUITAINE MELLE FALA;215080;8176;SOLIHA 77 SEINE-ET-MARNE              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245269;1;20090313;20090313;DAMMARIE LES LYS 77 731 RES AQUITAINE MME PILAR;99592;8176;SOLIHA 77 SEINE-ET-MARNE              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245266;1;20090313;20090313;DAMMARIE LES LYS 77 731 RES AQUITAINE MELLE ROZE;170760;8176;SOLIHA 77 SEINE-ET-MARNE              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245281;1;20090313;20090313;MONTEREAU FAULT YONNE 77 6-26 RUE CHESNOIS BAT D PACT77;8016141;8176;SOLIHA 77 SEINE-ET-MARNE              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245279;1;20090313;20090313;MONTEREAU FAULT YONNE 77 28-40 R CHESNOIS BAT C PACT77;4807575;8176;SOLIHA 77 SEINE-ET-MARNE              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245282;1;20090313;20090313;LES MUREAUX 78 1 PARC HISPANO M. DUBOSQ;175760;2113;DUBOSCQ                               ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245284;1;20090313;20090313;LES MUREAUX 78 9 PARC HISPANO SUIZA M. BRETON;148607;2114;BRETON                                ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245285;1;20090313;20090313;LES MUREAUX 78 1 PARC TALBOT M. JONUS JASARI;240726;2116;JASARI                                ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245311;1;20090205;20090209;DRANCY 93 23 RUE D'ALSACE LORR;66030;24743;FONCIA CHADEFAUX LECOQ                ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245312;1;20090205;20090205;DRANCY 93 129 AVENUE A. FRANCE;175354;29010;LAMY                                  ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245310;1;20090205;20090205;DRANCY 93 34 RUE MAURICE LACHA;520000;36441;COMMEAU                               ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245300;1;20090205;20090205;GRIGNY 91 6 AV DES SABLONS M. DENIS;373892;2115;DENIZ                                 ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245301;1;20090205;20090205;GRIGNY 91 11-13 AV DES SABLONS SAGIM;1465370;20384;SAGIM  STE ADMINIS BIENS              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245302;1;20090205;20090205;GRIGNY 91 16 AV DES SABLONS MME COKGUL;381504;2117;COKGUL                                ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245303;1;20090205;20090205;GRIGNY 91 16 AV DES SABLONS M. YILMAZ;358525;2118;YILMAZ                                ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245304;1;20090205;20090205;GRIGNY 91 17 AVENUE DES SABLON;520000;2119;KURUCU                                ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245305;1;20090205;20090205;GRIGNY 91 18 AVENUE DES SABLON;427000;2120;BAOULLA                               ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245306;1;20090205;20090205;GRIGNY 91 2 RUE VLAMINCK/12 AV;3236985;20384;SAGIM  STE ADMINIS BIENS              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245314;1;20090205;20090205;EPINAY SUR SEINE 93 75 RUE DE;53207;2122;EL YAHTITI                            ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245316;1;20090205;20090205;SEVRAN 93 6-8 AV YOURI GAGARIN;154467;11666;CADOT BEAUPLET                        ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245317;1;20090205;20090205;SEVRAN 93 6 ALLEE ETIENNE BOUC;604101;36514;EVAM GID                              ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245318;1;20090205;20090205;ST OUEN 93 11 BIS RUE RASPAIL;1048276;15186;PATRICK DALLEMAGNE                    ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245307;1;20090205;20090205;GRIGNY 91 8 RUE VLAMINCK M. TO;479210;2121;TOCAK                                 ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245308;1;20090205;20090205;DRANCY 93 5 AVENUE DE LA CONCO;142636;39872;YALAOUI                               ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
2009;AE   ;245319;1;20090205;20090205;LE KREMLIN BICETRE 94 6 RUE DU;1560000;5037;PACT VAL DE MARNE                     ;;LO                  ;15400403            ;Aide aux copropriétés en difficulté
